Security Code,Record Type,Trade ID,Price ,Quantity ,Trade Type ,Trade Time
1398,T,121,5.19,8000,103,2.01E+13
1398,T,122,5.19,34000,103,2.01E+13
1398,T,123,5.19,1000,103,2.01E+13
1398,T,124,5.19,21000,103,2.01E+13
1398,T,125,5.19,2000,103,2.01E+13
1398,T,126,5.19,33000,103,2.01E+13
1398,T,127,5.19,284000,103,2.01E+13
1398,T,128,5.19,1000,103,2.01E+13
1398,T,129,5.19,3000,103,2.01E+13
1398,T,130,5.19,6000,103,2.01E+13
1398,T,131,5.19,6000,103,2.01E+13
1398,T,132,5.19,14000,103,2.01E+13
1398,T,133,5.19,2000,103,2.01E+13
1398,T,134,5.19,20000,103,2.01E+13
1398,T,135,5.19,5000,103,2.01E+13
1398,T,136,5.19,100000,103,2.01E+13
1398,T,137,5.19,30000,103,2.01E+13
1398,T,138,5.19,1000,103,2.01E+13
1398,T,139,5.19,28000,103,2.01E+13
1398,T,140,5.19,50000,103,2.01E+13
1398,T,141,5.19,42000,103,2.01E+13
1398,T,142,5.19,10000,103,2.01E+13
1398,T,143,5.19,10000,103,2.01E+13
1398,T,144,5.19,38000,103,2.01E+13
1398,T,145,5.19,10000,103,2.01E+13
1398,T,146,5.19,2000,103,2.01E+13
1398,T,147,5.19,1000,103,2.01E+13
1398,T,148,5.19,397000,103,2.01E+13
1398,T,149,5.19,728000,103,2.01E+13
1398,T,150,5.19,79000,103,2.01E+13
1398,T,151,5.19,50000,103,2.01E+13
1398,T,152,5.19,68000,103,2.01E+13
1398,T,153,5.19,100000,103,2.01E+13
1398,T,154,5.19,32000,103,2.01E+13
1398,T,155,5.19,28000,103,2.01E+13
1398,T,156,5.19,6000,103,2.01E+13
1398,T,157,5.19,4000,103,2.01E+13
1398,T,158,5.19,10000,103,2.01E+13
1398,T,159,5.19,2000,103,2.01E+13
1398,T,160,5.19,5000,103,2.01E+13
1398,T,161,5.19,10000,103,2.01E+13
1398,T,162,5.19,14000,103,2.01E+13
1398,T,163,5.19,79000,103,2.01E+13
1398,T,164,5.19,7000,103,2.01E+13
1398,T,165,5.19,363000,103,2.01E+13
1398,T,166,5.19,225000,103,2.01E+13
1398,T,167,5.19,212000,103,2.01E+13
1398,T,168,5.19,4000,103,2.01E+13
1398,T,169,5.19,8000,103,2.01E+13
1398,T,170,5.19,60000,103,2.01E+13
1398,T,171,5.19,5000,103,2.01E+13
1398,T,172,5.19,15000,103,2.01E+13
1398,T,173,5.19,3000,103,2.01E+13
